country,leader_id,first_name,last_name,wikipedia_url,paragraph
be,Q12978,Guy,Verhofstadt,https://nl.wikipedia.org/wiki/Guy_Verhofstadt,"Guy Maurice Marie-Louise Verhofstadt [ 5 ] ( uitspraak  ) ( Dendermonde , 11 april 1953 ) is een Belgisch politicus voor de Open Vlaamse Liberalen en Democraten (Open Vld). Hij was premier van België van 12 juli 1999 tot 20 maart 2008 in drie regeringen. Hij beëindigde zijn actieve politieke carrière in het Europees Parlement , waar hij van 2009 tot 2019 fractieleider van de Alliantie van Liberalen en Democraten voor Europa (ALDE) was. [ 6 ]"
be,Q12981,Yves,Leterme,https://nl.wikipedia.org/wiki/Yves_Leterme,"Yves Camille Désiré Leterme ( Wervik , 6 oktober 1960 ) is een voormalig Belgisch politicus . Hij was onder meer Vlaams minister-president en premier van België . Hij was lang boegbeeld van de CD&V en boegbeeld van het toenmalige kartel CD&V/N-VA ."
be,Q12983,Herman,None,https://nl.wikipedia.org/wiki/Herman_Van_Rompuy,"Herman Achille graaf Van Rompuy ( Etterbeek , 31 oktober 1947 ) is een Belgische politicus van de christendemocratische partij CD&V . Hij was tussen 30 december 2008 en 25 november 2009 de premier van België en van 1 januari 2010 [ 2 ] tot en met 30 november 2014 voorzitter van de Europese Raad , in de media vaak incorrect ' president van Europa ' genoemd. [ 3 ] Op 19 november 2009 werd bekendgemaakt dat hij was verkozen tot de eerste permanente voorzitter en op 1 maart 2012 werd Van Rompuy met algemene stemmen door de 27 staatshoofden en regeringsleiders van de EU voor een tweede mandaat benoemd. Na deze termijn was hij niet meer herkiesbaar."
be,Q14989,Léon,Delacroix,https://nl.wikipedia.org/wiki/L%C3%A9on_Delacroix,"Léon Fréderic Gustave Delacroix ( Sint-Joost-ten-Node , 27 december 1867 – Baden-Baden , 15 oktober 1929 ) was een Belgisch katholiek politicus . Van 1918 tot 1920 was hij premier van België ."
be,Q14990,Henry,Carton,https://nl.wikipedia.org/wiki/Henri_Carton_de_Wiart,"Henri Victor Marie Ghislain Carton de Wiart ( Brussel , 31 januari 1869 – Ukkel , 6 mei 1951 ) (ook als ""Henry"" vermeld) was een Belgische politicus . Hij was premier van 1920 tot 1921."
be,Q14991,Georges,Theunis,https://nl.wikipedia.org/wiki/Georges_Theunis,"Georges Emile Pierre Léonard Theunis ( Montegnée , 28 februari 1873 – Brussel , 4 januari 1966 ) was een Belgisch industrieel en politicus van de Katholieke Partij ."
be,Q14992,Aloïs,Van de Vyvere,https://nl.wikipedia.org/wiki/Aloys_Van_de_Vyvere,"Aloys Jean Maria Joseph Van de Vyvere ( Tielt , 8 juni 1871 - Parijs , 22 oktober 1961 ) was een Belgisch katholiek volksvertegenwoordiger en minister ."
be,Q14993,Prosper,Poullet,https://nl.wikipedia.org/wiki/Prosper_Poullet,"Prosper Antoine Marie Joseph burggraaf Poullet ( Leuven , 5 maart 1868 - 3 december 1937 ) was een Belgisch politicus ."
be,Q14994,Henri,Jaspar,https://nl.wikipedia.org/wiki/Henri_Jaspar,"Henri Jaspar ( Schaarbeek , 28 juli 1870 - Sint-Gillis , 15 februari 1939 [ 1 ] ) was een Belgisch katholiek politicus , die twee keer premier van België was."
be,Q14995,Jules,None,https://nl.wikipedia.org/wiki/Jules_Renkin,"Jules Laurent Jean Louis Renkin ( Elsene , 3 december 1862 - Brussel , 15 juli 1934 ) was een Belgisch katholiek politicus ."
be,Q14996,Paul,Van Zeeland,https://nl.wikipedia.org/wiki/Paul_van_Zeeland,"Paul Guillaume van Zeeland ( Zinnik , 11 november 1893 – Brussel , 22 september 1973 ) was een Belgisch advocaat, econoom, katholiek politicus en staatsman."
be,Q14997,Achille,Van Acker,https://nl.wikipedia.org/wiki/Achiel_Van_Acker,"Achille Honoré (Achiel) Van Acker uitspraak  ( Brugge , 8 april 1898 – aldaar, 10 juli 1975 ) was een Belgisch socialistisch politicus. Hij was viermaal premier van België ."
be,Q14998,Camille,Huysmans,https://nl.wikipedia.org/wiki/Camille_Huysmans,"Jean Joseph Camille Huysmans (ook Kamiel Huysmans genoemd) ( Bilzen , 26 mei 1871 - Antwerpen , 25 februari 1968 ), geboren als Camiel Hansen , was een Belgisch journalist en socialistisch politicus voor de BWP / BSP ."
be,Q14999,Gaston,Eyskens,https://nl.wikipedia.org/wiki/Gaston_Eyskens,"Gaston François Marie burggraaf Eyskens ( Lier , 1 april 1905 – Leuven , 3 januari 1988 ) was een Belgisch econoom , hoogleraar aan de Katholieke Universiteit Leuven en christendemocratisch politicus . Hij was driemaal eerste minister in de periode tussen 1949 en 1973. Hij was de eerste Belgische regeringsleider die geboren was in de 20e eeuw."
be,Q15002,Leo,Tindemans,https://nl.wikipedia.org/wiki/Leo_Tindemans,"Leonard Clemence (Leo) Tindemans ( Zwijndrecht , 16 april 1922 – Edegem , 26 december 2014 ) was een Belgisch politicus voor de CVP en minister van staat . Hij was eerste minister van twee regeringen in België (periode van 25 april 1974 tot 20 oktober 1978 ) en behaalde het grootste aantal voorkeurstemmen in de Belgische geschiedenis bij de Europese verkiezingen van 1979. Daardoor kreeg hij de bijnaam ""de man van 1 miljoen stemmen"". [ 1 ]"
be,Q15048,Elio,Di Rupo,https://nl.wikipedia.org/wiki/Elio_Di_Rupo,"Elio Di Rupo ( Morlanwelz , 18 juli 1951 ) is een Belgische politicus voor de Parti Socialiste (PS). Van 6 december 2011 tot 11 oktober 2014 was hij premier van België en werd meermaals minister en minister-president van de Waalse Regering ."
be,Q15056,Jean-Luc,Dehaene,https://nl.wikipedia.org/wiki/Jean-Luc_Dehaene,"Jean Luc Joseph Marie Dehaene [ 5 ] uitspraak  ( Montpellier , 7 augustus 1940 – Quimper , 15 mei 2014 ) was van 1992 tot 1999 premier van België . Hij was lid van de toenmalige CVP (nu CD&V ). Onder zijn regering werd België een volwaardige federale staat. Dehaene leidde twee coalitieregeringen met de socialisten en bekleedde verschillende ministerposten voor hij in 1992 eerste minister werd. Van 2000 tot 2007 was hij burgemeester van Vilvoorde . In 2002 werd hij voorgedragen als vicevoorzitter van de Europese Conventie ."
be,Q15956,Frans,Schollaert,https://nl.wikipedia.org/wiki/Frans_Schollaert,"François Victor Marie Ghislain (Frans) Schollaert ( Wilsele , 19 augustus 1851 - Sainte-Adresse , 25 juni 1917 ) [ 1 ] was een Belgisch katholiek politicus ."
be,Q143202,Pieter,Decker,https://nl.wikipedia.org/wiki/Pieter_de_Decker,"Pierre Jacques François (Pieter) de Decker ( Zele , 25 januari 1812 - Schaarbeek , 4 januari 1891 ) was een Belgisch politicus en auteur ."
be,Q155691,Paul-Henri,Spaak,https://nl.wikipedia.org/wiki/Paul-Henri_Spaak,"Paul-Henri Charles Spaak uitspraak  ( Schaarbeek , 25 januari 1899 - Eigenbrakel , 31 juli 1972 ) was een Belgisch socialistisch politicus en regeringsleider."
be,Q202049,Auguste,Beernaert,https://nl.wikipedia.org/wiki/Auguste_Beernaert,"Auguste Marie François (August) Beernaert ( Oostende , 26 juli 1829 – Luzern , 6 oktober 1912 ) was een Belgisch katholiek politicus en mensenrechtenactivist . In 1909 won hij de Nobelprijs voor de Vrede ."
be,Q221781,Théodore,Lefèvre,https://nl.wikipedia.org/wiki/Th%C3%A9o_Lef%C3%A8vre,"Théodore Joseph Albéric Marie Lefèvre ( Gent , 17 januari 1914 – Sint-Lambrechts-Woluwe , 18 september 1973 ) was een Belgisch politicus . Hij was premier van België van 1961 tot 1965, aan het hoofd van de regering-Lefèvre-Spaak ."
be,Q250021,Paul,None,https://nl.wikipedia.org/wiki/Paul_Vanden_Boeynants,"Paul Emile François Henri Vanden Boeynants ( Vorst , 22 mei 1919 – Aalst , 8 januari 2001 ), in de media en door hemzelf bijgenaamd 'VDB', was een Belgisch volksvertegenwoordiger , minister en premier . Als ondernemer was hij actief in de vleesindustrie."
be,Q289570,Étienne,Gerlache,https://nl.wikipedia.org/wiki/Etienne_de_Gerlache,"Etienne Constantin baron de Gerlache ( Biourge , 25 december 1785 - Elsene , 10 februari 1871 ) was advocaat , politicus en magistraat in het Verenigd Koninkrijk der Nederlanden en in België ."
be,Q313809,Wilfried,Martens,https://nl.wikipedia.org/wiki/Wilfried_Martens,"Wilfried Achiel Emma Martens uitspraak  ( Sleidinge , 19 april 1936 – Lokeren , 9 oktober 2013 ) was een Vlaams-Belgische politicus voor de CD&V (vroeger CVP) en was van april 1979 tot maart 1992 (met een korte onderbreking) eerste minister van België ."
be,Q349477,Mark,Eyskens,https://nl.wikipedia.org/wiki/Mark_Eyskens,"Marc Maria Frans burggraaf Eyskens ( uitspraak  ) ( Leuven , 29 april 1933 ) is een Belgische emeritus hoogleraar , econoom , politicus en essayist . Van april tot december 1981 was hij premier van België ."
